place;allAbs;all;propertyAbs;property;violenceAbs;violence;drugsAbs;drugs;orderAbs;order;trafficAbs;traffic;otherAbs;other
Ringebu;147;32.9;48;10.8;14;3.1;11;2.5;0;0;47;10.5;24;5.4
Øyer;249;49.1;79;15.6;19;3.7;18;3.5;9;1.8;92;18.1;33;6.5
Gausdal;116;18.6;39;6.3;9;1.4;21;3.4;0;0;15;2.4;29;4.7
Østre Toten;423;28.4;60;4;54;3.6;41;2.8;40;2.7;103;6.9;126;8.5
Vestre Toten;629;47.7;120;9.1;67;5.1;128;9.7;37;2.8;151;11.5;128;9.7
Jevnaker;254;38.3;54;8.1;41;6.2;48;7.2;27;4.1;43;6.5;42;6.3
Lunner;430;47.5;49;5.4;71;7.9;84;9.3;39;4.3;132;14.6;57;6.3
Gran;613;44.8;128;9.3;70;5.1;93;6.8;90;6.6;122;8.9;112;8.2
Søndre Land;190;33;36;6.3;33;5.7;22;3.8;19;3.3;31;5.4;52;9
Nordre Land;289;42.8;45;6.7;28;4.1;13;1.9;19;2.8;41;6.1;144;21.3
Sør-Aurdal;102;33.4;12;3.9;7;2.3;10;3.3;12;3.9;46;15;15;4.9
Etnedal;35;26.5;9;6.8;6;4.5;0;0;0;0;10;7.6;7;5.3
Nord-Aurdal;439;68;79;12.2;48;7.4;103;15.9;57;8.8;88;13.6;64;9.9
Vestre Slidre;59;27.2;11;5.1;0;0;9;4.2;7;3.2;16;7.4;14;6.5
Øystre Slidre;122;37.9;36;11.2;14;4.3;15;4.7;19;5.9;15;4.7;23;7.1
Vang;67;42.1;22;13.8;6;3.8;6;3.8;9;5.7;0;0;21;13.2
Uoppgitt kommune Oppland;10;0;0;0;0;0;0;0;0;0;0;0;0;0
Buskerud;15224;54.8;4399;15.8;1520;5.5;2647;9.5;1638;5.9;2459;8.9;2562;9.2
Drammen;5019;73.9;1608;23.7;549;8.1;856;12.6;706;10.4;481;7.1;820;12.1
Kongsberg;1327;49.1;381;14.1;103;3.8;298;11;148;5.5;187;6.9;210;7.8
Ringerike;1955;65.6;444;14.9;255;8.6;379;12.7;218;7.3;387;13;273;9.2
Hole;326;48.2;63;9.3;15;2.2;34;5;27;4;141;20.8;47;6.9
Flå;64;59.6;20;18.6;5;4.7;14;13;0;0;16;14.9;8;7.4
Nes (Busk.);199;58.2;37;10.8;14;4.1;36;10.5;12;3.5;66;19.3;35;10.2
Gol;283;61.8;50;10.9;34;7.4;41;9;30;6.6;92;20.1;38;8.3
Hemsedal;403;166.4;221;91.2;29;12;72;29.7;32;13.2;28;11.6;22;9.1
Ål;153;32.5;31;6.6;9;1.9;20;4.2;9;1.9;61;12.9;24;5.1
Hol;229;50.9;104;23.1;19;4.2;24;5.3;13;2.9;31;6.9;39;8.7
Sigdal;72;20.5;20;5.7;6;1.7;10;2.8;0;0;17;4.8;16;4.6
Krødsherad;134;58.9;50;22;7;3.1;19;8.4;9;4;32;14.1;18;7.9
Modum;591;42.8;154;11.2;57;4.1;117;8.5;44;3.2;92;6.7;127;9.2
Øvre Eiker;938;51.5;265;14.6;63;3.5;206;11.3;76;4.2;183;10.1;146;8
Nedre Eiker;1140;46.7;283;11.6;121;5;200;8.2;114;4.7;141;5.8;282;11.5
Lier;1209;47;376;14.6;102;4;172;6.7;97;3.8;284;11;179;7
Røyken;603;28.1;151;7;68;3.2;77;3.6;57;2.7;99;4.6;152;7.1
Hurum;395;42;90;9.6;46;4.9;60;6.4;30;3.2;85;9;85;9
Flesberg;76;28.2;26;9.6;10;3.7;0;0;6;2.2;13;4.8;18;6.7
Rollag;33;23.5;7;5;0;0;6;4.3;0;0;7;5;8;5.7
Nore og Uvdal;80;31.4;22;8.6;8;3.1;9;3.5;0;0;21;8.2;20;7.8
Uoppgitt kommune Buskerud;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vestfold;16126;65.8;4514;18.4;1785;7.3;3436;14;1628;6.6;2336;9.5;2428;9.9
Horten;1885;69.4;462;17;240;8.8;513;18.9;187;6.9;233;8.6;253;9.3
Holmestrand;691;64.3;133;12.4;87;8.1;149;13.9;49;4.6;178;16.6;96;8.9
Tønsberg;4340;102.7;1516;35.9;418;9.9;1003;23.7;426;10.1;454;10.7;524;12.4
Sandefjord (-2016);3358;73.3;947;20.7;405;8.8;585;12.8;418;9.1;404;8.8;599;13.1
Larvik;2820;64.3;643;14.7;331;7.5;675;15.4;258;5.9;487;11.1;428;9.8
Svelvik;216;32.7;47;7.1;39;5.9;32;4.8;15;2.3;27;4.1;57;8.6
Sande (Vestf.);402;43.2;119;12.8;34;3.7;48;5.2;35;3.8;106;11.4;62;6.7
Hof;195;61.7;20;6.3;18;5.7;22;7;99;31.3;14;4.4;23;7.3
Re;297;31.7;63;6.7;23;2.5;51;5.4;19;2;102;10.9;40;4.3
Andebu (-2016);205;34.5;31;5.2;23;3.9;21;3.5;10;1.7;86;14.5;35;5.9
Stokke (-2016);439;37.7;111;9.5;58;5;67;5.7;31;2.7;88;7.5;85;7.3
Nøtterøy;883;40.8;279;12.9;87;4;224;10.4;63;2.9;84;3.9;147;6.8
Tjøme;241;48.5;104;20.9;18;3.6;35;7;10;2;27;5.4;48;9.7
Lardal;132;53.4;33;13.3;7;2.8;12;4.9;9;3.6;50;20.2;22;8.9
Uoppgitt kommune Vestfold;25;0;9;0;0;0;0;0;0;0;0;0;11;0
Telemark;13175;76.4;3693;21.4;1362;7.9;2456;14.2;1269;7.4;2489;14.4;1906;11
Porsgrunn;3656;101.7;1130;31.4;349;9.7;567;15.8;338;9.4;848;23.6;425;11.8
Skien;4222;78.3;1397;25.9;479;8.9;711;13.2;432;8;569;10.5;635;11.8
Notodden;969;76.2;134;10.5;115;9;294;23.1;102;8;181;14.2;145;11.4
Siljan;66;28.3;25;10.7;0;0;6;2.6;6;2.6;16;6.9;10;4.3
Bamble;997;70.8;301;21.4;83;5.9;142;10.1;70;5;201;14.3;202;14.3
Kragerø;987;93.1;234;22.1;90;8.5;202;19;101;9.5;245;23.1;116;10.9
Drangedal;256;61.9;56;13.5;29;7;61;14.7;25;6;48;11.6;39;9.4
Nome;394;60.3;50;7.7;48;7.3;130;19.9;38;5.8;72;11;57;8.7
Bø (Telem.);404;66.2;103;16.9;42;6.9;96;15.7;52;8.5;55;9;57;9.3
Sauherad;167;38.5;33;7.6;14;3.2;19;4.4;14;3.2;54;12.4;34;7.8
Tinn;296;49.8;53;8.9;37;6.2;94;15.8;24;4;39;6.6;49;8.2
Hjartdal;68;42.2;11;6.8;8;5;11;6.8;0;0;24;14.9;12;7.4
Seljord;235;78.6;44;14.7;27;9;60;20.1;25;8.4;44;14.7;36;12
Kviteseid;100;40.8;19;7.8;13;5.3;19;7.8;10;4.1;20;8.2;20;8.2
Nissedal;57;39.5;23;15.9;0;0;5;3.5;6;4.2;9;6.2;11;7.6
Fyresdal;58;43.8;19;14.4;6;4.5;11;8.3;7;5.3;5;3.8;11;8.3
Tokke;69;30.7;12;5.3;7;3.1;16;7.1;6;2.7;17;7.6;13;5.8
Vinje;166;44.5;47;12.6;12;3.2;15;4;14;3.8;45;12.1;34;9.1
Uoppgitt kommune Telemark;12;0;6;0;0;0;0;0;0;0;0;0;0;0
Aust-Agder;8129;70.2;2296;19.8;857;7.4;1543;13.3;918;7.9;1330;11.5;1186;10.2
Risør;338;48.8;94;13.6;40;5.8;54;7.8;37;5.3;42;6.1;71;10.3
Grimstad;1595;70.7;516;22.9;162;7.2;297;13.2;193;8.6;191;8.5;238;10.6
Arendal;3811;86;1017;23;413;9.3;845;19.1;448;10.1;635;14.3;454;10.2
Gjerstad;128;51.8;20;8.1;14;5.7;17;6.9;16;6.5;37;15;25;10.1
Vegårshei;61;30;25;12.3;8;3.9;5;2.5;6;2.9;6;2.9;12;5.9
Tvedestrand;473;78.6;115;19.1;44;7.3;91;15.1;35;5.8;125;20.8;64;10.6
Froland;310;55.2;56;10;34;6.1;70;12.5;40;7.1;54;9.6;58;10.3
Lillesand;637;60.2;211;19.9;61;5.8;78;7.4;65;6.1;100;9.5;123;11.6
Birkenes;187;36.3;65;12.6;28;5.4;18;3.5;25;4.9;19;3.7;34;6.6
Åmli;93;50.4;25;13.5;7;3.8;11;6;11;6;23;12.5;16;8.7
Iveland;47;35.7;16;12.1;6;4.6;7;5.3;5;3.8;7;5.3;7;5.3
